Tag,Alloy name,Citation,Citation,Citation,Citation,Citation,Citation,Alloy type,Alloy type,Alloy type,Alloy type,Alloy type,Alloy type,Alloy type,Alloy type,Alloy type,Alloy type,Alloy type,Alloy type,Alloy type,Alloy type,Alloy type,Alloy type,Notes,Solution heat treatment,Solution heat treatment,Solution heat treatment,Solution heat treatment,Solution heat treatment,Solution heat treatment,Precipitation heat treatment,Precipitation heat treatment,Precipitation heat treatment,Precipitation heat treatment,Precipitation heat treatment,Precipitation heat treatment,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Density,Lattice param,RT lattice misfit,RT lattice misfit,RT lattice misfit,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Fatigue life,Fatigue life,Fatigue life,Fatigue life,Fatigue life,Fatigue life,Fatigue life,Fatigue life,Fatigue life,Fatigue life,Fatigue life,Fatigue life,Fatigue life,Fatigue life,Fatigue life,Fatigue life,SFE,SFE,SFE,SFE,SFE,SFE,SFE,SFE
,,Ref #1,Ref #1,Ref #1,Ref #2,Ref #2,Ref #2,Multiphase,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Commercial,Parent alloy,Phase,Phase,Casting,,Stage 1,Stage 1,Stage 2,Stage 2,Stage 3,Stage 3,Stage 1,Stage 1,Stage 2,Stage 2,Stage 3,Stage 3,wt. %,wt. %,wt. %,wt. %,wt. %,wt. %,wt. %,wt. %,wt. %,wt. %,wt. %,wt. %,at. %,at. %,at. %,at. %,at. %,at. %,at. %,at. %,at. %,at. %,at. %,at. %,wt. %,wt. %,wt. %,wt. %,wt. %,wt. %,wt. %,wt. %,wt. %,wt. %,wt. %,wt. %,at. %,at. %,at. %,at. %,at. %,at. %,at. %,at. %,at. %,at. %,at. %,at. %,,,Def 1,Def 2,Def 3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,1,1,2,2,3,3,4,4
,,Name,DOI,Other,Name,DOI,Other,Boolean,Name,Tag,wt.,at.,Mean size,Name,Tag,wt.,at.,Mean size,,Tag,Name,Strukturbericht,,,Temp,Time,Temp,Time,Temp,Time,Temp,Time,Temp,Time,Temp,Time,Ni,Cr,Co,Re,Ru,Al,Ta,W,Ti,Mo,Nb,Hf,Ni,Cr,Co,Re,Ru,Al,Ta,W,Ti,Mo,Nb,Hf,Ni,Cr,Co,Re,Ru,Al,Ta,W,Ti,Mo,Nb,Hf,Ni,Cr,Co,Re,Ru,Al,Ta,W,Ti,Mo,Nb,Hf,,,(a’-a)/a,a’-a,2(a’-a)/(a’+a),Temp,Yield stress,Ultimate Tensile stress,0.2% proof stress,Elongation,Young’s modulus,Shear modulus,Poisson’s ratio,Temp,Yield stress,Ultimate Tensile stress,0.2% proof stress,Elongation,Young’s modulus,Shear modulus,Poisson’s ratio,Temp,Yield stress,Ultimate Tensile stress,0.2% proof stress,Elongation,Young’s modulus,Shear modulus,Poisson’s ratio,Temp,Yield stress,Ultimate Tensile stress,0.2% proof stress,Elongation,Young’s modulus,Shear modulus,Poisson’s ratio,Temp,Stress,LMP at 1% creep,LMP at rupture,Time for 1% creep,Rupture life,Primary creep strain,Primary creep rate,Elongation / rupture strain,Min. secondary creep rate,Temp,Stress,LMP at 1% creep,LMP at rupture,Time for 1% creep,Rupture life,Primary creep strain,Primary creep rate,Elongation / rupture strain,Min. secondary creep rate,Temp,Stress,LMP at 1% creep,LMP at rupture,Time for 1% creep,Rupture life,Primary creep strain,Primary creep rate,Elongation / rupture strain,Min. secondary creep rate,Temp,Stress,LMP at 1% creep,LMP at rupture,Time for 1% creep,Rupture life,Primary creep strain,Primary creep rate,Elongation / rupture strain,Min. secondary creep rate,Temp,Stress,LMP at 1% creep,LMP at rupture,Time for 1% creep,Rupture life,Primary creep strain,Primary creep rate,Elongation / rupture strain,Min. secondary creep rate,Temp,Stress,LMP at 1% creep,LMP at rupture,Time for 1% creep,Rupture life,Primary creep strain,Primary creep rate,Elongation / rupture strain,Min. secondary creep rate,Temp,Stress,LMP at 1% creep,LMP at rupture,Time for 1% creep,Rupture life,Primary creep strain,Primary creep rate,Elongation / rupture strain,Min. secondary creep rate,Temp,Stress,LMP at 1% creep,LMP at rupture,Time for 1% creep,Rupture life,Primary creep strain,Primary creep rate,Elongation / rupture strain,Min. secondary creep rate,Temp,Stress,LMP at 1% creep,LMP at rupture,Time for 1% creep,Rupture life,Primary creep strain,Primary creep rate,Elongation / rupture strain,Min. secondary creep rate,Temperature,Frequency,Max stress,Cycles to failure,Temperature,Frequency,Max stress,Cycles to failure,Temperature,Frequency,Max stress,Cycles to failure,Temperature,Frequency,Max stress,Cycles to failure,Temp,Value,Temp,Value,Temp,Value,Temp,Value
,,,,,,,,,,,,,(nm),,,,,(nm),,,,,,,(ºC),(hrs),(ºC),(hrs),(ºC),(hrs),(ºC),(hrs),(ºC),(hrs),(ºC),(hrs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(g/cm^3),(Å),(%),(Å),(%),(ºC),(MPa),(MPa),(MPa),%,(GPa),(GPa),-,(ºC),(MPa),(MPa),(MPa),%,(GPa),(GPa),-,(ºC),(MPa),(MPa),(MPa),%,(GPa),(GPa),-,(ºC),(MPa),(MPa),(MPa),%,(GPa),(GPa),-,(ºC),(MPa),,,(hrs),(hrs),(%),(x10^-6 s^-1),(%),(x10^-8 s^-1),(ºC),(MPa),,,(hrs),(hrs),(%),(x10^-6 s^-1),(%),(x10^-8 s^-1),(ºC),(MPa),,,(hrs),(hrs),(%),(x10^-6 s^-1),(%),(x10^-8 s^-1),(ºC),(MPa),,,(hrs),(hrs),(%),(x10^-6 s^-1),(%),(x10^-8 s^-1),(ºC),(MPa),,,(hrs),(hrs),(%),(x10^-6 s^-1),(%),(x10^-8 s^-1),(ºC),(MPa),,,(hrs),(hrs),(%),(x10^-6 s^-1),(%),(x10^-8 s^-1),(ºC),(MPa),,,(hrs),(hrs),(%),(x10^-6 s^-1),(%),(x10^-8 s^-1),(ºC),(MPa),,,(hrs),(hrs),(%),(x10^-6 s^-1),(%),(x10^-8 s^-1),(ºC),(MPa),,,(hrs),(hrs),(%),(x10^-6 s^-1),(%),(x10^-8 s^-1),(ºC),(Hz),(MPa),,(ºC),(Hz),(MPa),,(ºC),(Hz),(MPa),,(ºC),(Hz),(MPa),,(ºC),(mJ/m^2),(ºC),(mJ/m^2),(ºC),(mJ/m^2),(ºC),(mJ/m^2)
MC2_D94_0,MC2,Duval et al 94,10.1016/0956-7151(94)90061-2,,,,,1,γ,MC2_D94_A1,0.3044810348,0.31,,γ',MC2_D94_L1_2,0.6955189652,0.69,,1,,,,sc,,1300,3,0,0,0,0,1100,4,850,24,0,0,0.7039655805,0.08322561164,0.04563985154,0,0,0.0771600712,0.02136466102,0.02805136818,0.02670582627,0.01388702966,0,0,0.659,0.093,0.051,0,0,0.112,0.02,0.026,0.025,0.013,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC2_D94_A1,MC2,Duval et al 94,10.1016/0956-7151(94)90061-2,,,,,0,,,,,,,,,,,0,MC2_D94_0,γ,A1,,,,,,,,,,,,,,,0.5900898293,0.231945981,0.08149453387,0,0,0.01585679727,0.003207009942,0.04426674592,0.003207009942,0.02993209279,0,0,0.552,0.259,0.091,0,0,0.023,0.003,0.041,0.003,0.028,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC2_D94_L1_2,MC2,Duval et al 94,10.1016/0956-7151(94)90061-2,,,,,0,,,,,,,,,,,0,MC2_D94_0,γ',L1_2,,,,,,,,,,,,,,,0.7549312427,0.01605616066,0.03122031239,0,0,0.1016322325,0.02342522897,0.03333784685,0.03300827718,0.00638869881,0,0,0.709,0.018,0.035,0,0,0.148,0.022,0.031,0.031,0.006,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC2_D94_0_1,MC2,Duval et al 94,10.1016/0956-7151(94)90061-2,,,,,1,γ,MC2_D94_A1_1,0.3437611626,0.36,,γ',MC2_D94_L1_2_1,0.6562388374,0.64,,1,,,,sc,,1300,3,0,0,0,0,1100,4,850,24,1050,0.5,0.7039655805,0.08322561164,0.04563985154,0,0,0.0771600712,0.02136466102,0.02805136818,0.02670582627,0.01388702966,0,0,0.659,0.093,0.051,0,0,0.112,0.02,0.026,0.025,0.013,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC2_D94_A1_1,MC2,Duval et al 94,10.1016/0956-7151(94)90061-2,,,,,0,,,,,,,,,,,0,MC2_D94_0_1,γ,A1,,,,,,,,,,,,,,,0.6210848402,0.1919750303,0.07804592353,0,0,0.03245856977,0.004283343725,0.0410980505,0.006425015588,0.02462922642,0,0,0.58,0.214,0.087,0,0,0.047,0.004,0.038,0.006,0.023,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC2_D94_L1_2_1,MC2,Duval et al 94,10.1016/0956-7151(94)90061-2,,,,,0,,,,,,,,,,,0,MC2_D94_0_1,γ',L1_2,,,,,,,,,,,,,,,0.7460926136,0.0213990257,0.03655666891,0,0,0.09884297327,0.025543827,0.0257988682,0.03618708825,0.009578935124,0,0,0.701,0.024,0.041,0,0,0.144,0.024,0.024,0.034,0.009,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC2_D94_0_2,MC2,Duval et al 94,10.1016/0956-7151(94)90061-1,,,,,1,γ,MC2_D94_A1_2,0.4565317874,0.52,,γ',MC2_D94_L1_2_2,0.5434682126,0.48,,1,,,,sc,,1300,3,0,0,0,0,1100,4,850,24,1050,10,0.7039655805,0.08322561164,0.04563985154,0,0,0.0771600712,0.02136466102,0.02805136818,0.02670582627,0.01388702966,0,0,0.659,0.093,0.051,0,0,0.112,0.02,0.026,0.025,0.013,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
