Element,Vdw radius,Covalent radius,Valence,Electronegativity,Space group #,Space group short,Strukturbericht,Atomic packing factor,Work function,Number of non-core electrons,Number s electrons,Number p electrons,Number d electrons,Number f electrons,1s pp radii,2s pp radii,2p pp radii,3s pp radii,3p pp radii,3d pp radii,4s pp radii,4p pp radii,4d pp radii,5s pp radii,5p pp radii,5d pp radii,5f pp radii,6s pp radii,6p pp radii,6d pp radii,7s pp radii,4f pp radii,Pettifor scale,Modified Pettifor,Atomic mass,DFT fcc lattice param,DFT hcp lattice param,DFT fcc cohesive energy,DFT hcp cohesive energy
X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
H,1.20,0.31,1,2.20,194,P63/mmc,A3,0.74,nan,1,1,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,103.00,103.00,1.01,nan,nan,nan,nan
He,1.43,0.28,0,nan,194,P63/mmc,A3,0.74,nan,2,2,0,0,0,0.291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00,1.00,4.00,nan,nan,nan,nan
Li,2.12,1.28,1,0.98,229,Im3m,A2,0.68,2.93,3,3,0,0,0,0.186,1.586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.00,12.00,6.94,nan,nan,nan,nan
Be,1.98,0.96,2,1.57,194,P63/mmc,A3,0.74,4.98,4,4,0,0,0,0.138,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.00,77.00,9.01,nan,nan,nan,nan
B,1.91,0.84,3,2.04,166,R3m,nan,nan,4.45,5,4,1,0,0,0.11,0.769,0.776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.00,86.00,10.81,nan,nan,nan,nan
C,1.77,0.76,4,2.55,194,P63/mmc,A9,0.13,5.00,6,4,2,0,0,0.091,0.62,0.596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.00,87.00,12.01,nan,nan,nan,nan
N,1.66,0.71,5,3.04,205,Pa3,nan,nan,nan,7,4,3,0,0,0.078,0.521,0.4875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,88.00,14.01,nan,nan,nan,nan
O,1.50,0.66,6,3.44,222,Pm3n,nan,nan,nan,8,4,4,0,0,0.068,0.45,0.4135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.00,97.00,16.00,nan,nan,nan,nan
F,1.46,0.57,7,3.98,15,C2/c,nan,nan,nan,9,4,5,0,0,0.06,0.396,0.3595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.00,102.00,19.00,nan,nan,nan,nan
Ne,1.58,0.58,0,nan,225,Fm3m,A1,0.74,nan,10,4,6,0,0,0.054,0.354,0.3175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00,2.00,20.18,nan,nan,nan,nan
Na,2.50,1.66,1,0.93,229,Im3m,A2,0.68,2.36,1,1,0,0,0,0,0,0.278,1.713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.00,11.00,22.99,nan,nan,nan,nan
Mg,2.51,1.41,2,1.31,194,P63/mmc,A3,0.74,3.66,2,2,0,0,0,0,0,0.247,1.279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.00,73.00,24.31,nan,nan,nan,nan
Al,2.25,1.21,3,1.61,225,Fm3m,A1,0.74,4.30,3,2,1,0,0,0,0,0.221,1.044,1.312,0,0,0,0,0,0,0,0,0,0,0,0,0,80.00,78.00,26.98,4.01,2.83,-4.10,-4.06
Si,2.19,1.11,4,1.90,227,Fd3m,A4,0.34,4.85,4,2,2,0,0,0,0,0.201,0.904,1.068,0,0,0,0,0,0,0,0,0,0,0,0,0,85.00,85.00,28.09,nan,nan,nan,nan
P,1.90,1.07,5,2.19,64,Cmca,nan,nan,nan,5,2,3,0,0,0,0,0.184,0.803,0.9175,0,0,0,0,0,0,0,0,0,0,0,0,0,90.00,89.00,30.97,nan,nan,nan,nan
S,1.89,1.05,6,2.58,70,Fddd,A16,nan,nan,6,2,4,0,0,0,0,0.169,0.723,0.808,0,0,0,0,0,0,0,0,0,0,0,0,0,94.00,96.00,32.06,nan,nan,nan,nan
Cl,1.82,1.02,7,3.16,64,Cmca,nan,nan,nan,7,2,5,0,0,0,0,0.157,0.66,0.7235,0,0,0,0,0,0,0,0,0,0,0,0,0,99.00,101.00,35.45,nan,nan,nan,nan
Ar,1.83,1.06,0,nan,225,Fm3m,A1,0.74,nan,8,2,6,0,0,0,0,0.146,0.607,0.657,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00,3.00,39.95,nan,nan,nan,nan
K,2.73,2.03,1,0.82,229,Im3m,A2,0.68,2.29,1,1,0,0,0,0,0,0,0,0.593,0,2.162,0,0,0,0,0,0,0,0,0,0,0,10.00,10.00,39.10,nan,nan,nan,nan
Ca,2.62,1.76,2,1.00,225,Fm3m,A1,0.74,2.87,2,2,0,0,0,0,0,0,0,0.539,0,1.69,0,0,0,0,0,0,0,0,0,0,0,16.00,16.00,40.08,nan,nan,nan,nan
Sc,2.58,1.70,2,1.36,194,P63/mmc,A3,0.74,3.50,3,2,0,1,0,0,0,0,0,0.5,0.539,1.57,0,0,0,0,0,0,0,0,0,0,0,20.00,48.00,44.96,nan,nan,nan,nan
Ti,2.46,1.60,2,1.54,194,P63/mmc,A3,0.74,4.33,4,2,0,2,0,0,0,0,0,0.468,0.489,1.477,0,0,0,0,0,0,0,0,0,0,0,51.00,51.00,47.87,4.06,2.90,-7.27,-7.32
V,2.42,1.53,2,1.63,229,Im3m,A2,0.68,4.30,5,2,0,3,0,0,0,0,0,0.439,0.449,1.401,0,0,0,0,0,0,0,0,0,0,0,54.00,54.00,50.94,3.77,2.58,-8.94,-8.94
Cr,2.45,1.39,1,1.66,229,Im3m,A2,0.68,4.50,6,1,0,5,0,0,0,0,0,0.416,0.4265,1.453,0,0,0,0,0,0,0,0,0,0,0,57.00,55.00,52.00,3.58,2.46,-10.09,-10.08
Mn,2.45,1.39,2,1.55,217,I43m,A12,nan,4.10,7,2,0,5,0,0,0,0,0,0.392,0.3885,1.278,0,0,0,0,0,0,0,0,0,0,0,60.00,72.00,54.94,3.46,2.45,-10.36,-10.39
Fe,2.44,1.32,2,1.83,229,Im3m,A2,0.68,5.00,8,2,0,6,0,0,0,0,0,0.373,0.364,1.227,0,0,0,0,0,0,0,0,0,0,0,61.00,71.00,55.85,3.41,2.43,-9.77,-9.86
Co,2.40,1.26,2,1.88,194,P63/mmc,A3,0.74,5.00,9,2,0,7,0,0,0,0,0,0.355,0.343,1.181,0,0,0,0,0,0,0,0,0,0,0,64.00,70.00,58.93,3.47,2.46,-9.03,-9.05
Ni,2.40,1.24,2,1.91,225,Fm3m,A1,0.74,5.09,10,2,0,8,0,0,0,0,0,0.339,0.324,1.139,0,0,0,0,0,0,0,0,0,0,0,67.00,69.00,58.69,3.47,2.45,-7.90,-7.87
Cu,2.38,1.32,1,1.90,225,Fm3m,A1,0.74,4.83,11,1,0,10,0,0,0,0,0,0.325,0.311,1.191,0,0,0,0,0,0,0,0,0,0,0,72.00,68.00,63.55,3.56,2.51,-4.50,-4.50
Zn,2.39,1.22,2,1.65,194,P63/mmc,A3,0.74,3.63,12,2,0,10,0,0,0,0,0,0.311,0.2925,1.065,0,0,0,0,0,0,0,0,0,0,0,76.00,74.00,65.38,nan,nan,nan,nan
Ga,2.32,1.22,3,1.81,64,Cmca,A11,nan,4.32,13,2,1,10,0,0,0,0,0,0.298,0.2755,0.96,1.254,0,0,0,0,0,0,0,0,0,0,81.00,79.00,69.72,nan,nan,nan,nan
Ge,2.29,1.20,4,2.01,227,Fd3m,A4,0.34,5.00,14,2,2,10,0,0,0,0,0,0.285,0.2605,0.886,1.09,0,0,0,0,0,0,0,0,0,0,84.00,84.00,72.63,nan,nan,nan,nan
As,1.88,1.19,5,2.18,166,R3m,A7,nan,3.75,15,2,3,10,0,0,0,0,0,0.274,0.2465,0.826,0.9915,0,0,0,0,0,0,0,0,0,0,89.00,90.00,74.92,nan,nan,nan,nan
