,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103
,,X,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm,Md,No,Lr
0,X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,H,nan,1,0,0.021,0,0,0,0,0.069,0.23,0,0.019,0,0,0,0,0,0.066,0,0.015,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0.039,0,0.015,0,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0.057,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,He,nan,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,Li,nan,0.021,0,1,0,0,0,0,0,0,0,0.259,0.031,0.005,0,0,0,0,0,0.052,0.012,0.007,0,0,0,0.012,0.006,0.006,0.01,0.016,0.01,0.004,0,0,0,0,0,0.035,0.005,0.005,0.007,0,0,0,0,0,0.009,0.017,0.008,0,0,0,0,0,0,0.024,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0.018,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,Be,nan,0,0,0,1,0.026,0,0,0,0,0,0,0.026,0.013,0.006,0,0,0,0,0,0.009,0.005,0.011,0,0.008,0.012,0.01,0.017,0.007,0.01,0.04,0.013,0,0,0,0,0,0,0.006,0.004,0.013,0,0,0,0,0,0,0,0.017,0.006,0.008,0,0,0,0,0,0.007,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.009,0,0,0,0,0,0.007,0,0.019,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,B,nan,0,0,0,0.026,1,0.194,0.029,0.012,0,0,0,0,0.016,0.073,0.034,0.006,0,0,0,0,0,0,0,0,0,0.004,0.016,0.004,0,0,0.045,0.03,0.016,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0.009,0.009,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0.008,0,0,0.015,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,C,nan,0,0,0,0,0.194,1,0.188,0.075,0,0,0,0,0,0.024,0.031,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0.016,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0,0,0.007,0.019,0.014,0.012,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0.02,0,0,0,0.013,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,N,nan,0,0,0,0,0.029,0.188,1,0.085,0,0,0,0,0,0,0.099,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.092,0.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074,0.052,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0.043,0.041,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,O,nan,0.069,0,0,0,0.012,0.075,0.085,1,0.034,0,0,0.005,0,0,0.029,0.127,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031,0.086,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026,0.069,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0.004,0,0,0,0,0.015,0.035,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
